id;start_academic_year;field_of_study;specialization;studies_level;studies_type
1;57814;MANAGMENT;IT_SYSTEMS_DESIGN;I;NONSTATIONARY
2;33120;MANAGMENT;IT_SYSTEMS_DESIGN;II;NONSTATIONARY
3;30034;INFORMATION_TECHNOLOGY;IT_SYSTEMS_DESIGN;II;NONSTATIONARY
4;36642;INFORMATION_TECHNOLOGY;IT_SYSTEMS_DESIGN;I;STATIONARY
5;27212;INFORMATION_TECHNOLOGY;IT_SYSTEMS_DESIGN;I;STATIONARY
6;56452;INFORMATION_TECHNOLOGY;IT_SYSTEMS_DESIGN;II;NONSTATIONARY
7;8082;MANAGMENT;SOFTWARE_DEVELOPMENT;I;NONSTATIONARY
8;71852;MANAGMENT;IT_SYSTEMS_DESIGN;I;NONSTATIONARY
9;39553;MANAGMENT;DATA_SCIENCE;I;STATIONARY
10;43797;INFORMATION_TECHNOLOGY;DATA_SCIENCE;II;STATIONARY
